Disease,Treatment,Organic_Solution,Prevention
Pepper__bell___Bacterial_spot,Copper Fungicide,Neem Oil,Remove infected leaves and avoid overhead irrigation
Pepper__bell___healthy,None Needed,None Needed,Maintain proper crop management practices
Potato___Early_blight,Chlorothalonil Fungicide,Neem Oil,Crop rotation and removal of infected leaves
Potato___healthy,None Needed,None Needed,Continue regular monitoring and proper irrigation
Potato___Late_blight,Copper Fungicide,Garlic Spray,Improve drainage and avoid excess moisture
Tomato_Bacterial_spot,Copper Fungicide,Neem Oil,Avoid overhead watering and remove infected plants
Tomato_Early_blight,Mancozeb,Neem Oil,Remove infected leaves and practice crop rotation
Tomato_healthy,None Needed,None Needed,Maintain healthy growing conditions
Tomato_Late_blight,Copper Fungicide,Garlic Spray,Improve drainage and ensure air circulation
Tomato_Leaf_Mold,Fungicide Spray,Milk Spray,Improve greenhouse ventilation and reduce humidity
Tomato_Septoria_leaf_spot,Chlorothalonil Fungicide,Neem Oil,Remove infected foliage and avoid leaf wetness
Tomato_Spider_mites_Two_spotted_spider_mite,Miticide,Neem Oil,Increase humidity and remove infested leaves
Tomato__Target_Spot,Fungicide Spray,Compost Tea,Remove infected leaves and maintain field hygiene
Tomato__Tomato_mosaic_virus,Remove Infected Plants,None Available,Use certified virus-free seeds and sanitize tools
Tomato__Tomato_YellowLeaf__Curl_Virus,Remove Infected Plants,Neem Oil,Control whiteflies and remove infected plants
